,MI Scores
recent_wopr,0.2054178406435101
season_targets,0.19398589713994907
season_receiving_yards_after_catch,0.19215467067256187
season_wopr,0.18726172467159818
recent_target_share,0.18650330642318158
season_fantasy_points_ppr,0.1821007345945116
recent_receptions,0.1758928654755043
season_receptions,0.17484490689790766
recent_targets,0.17116509802888968
season_target_share,0.16861074893710049
season_receiving_yards,0.16545586674922763
recent_fantasy_points_ppr,0.15686993363824664
recent_receiving_yards,0.15034636389757727
season_receiving_first_downs,0.14230021427506756
prev_target_share,0.1375322852088825
prev_receiving_first_downs,0.13085164040097697
recent_receiving_air_yards,0.12923167243598943
recent_receiving_first_downs,0.12268695435827226
season_receiving_air_yards,0.11678993328218423
season_air_yards_share,0.1166547030617675
prev_receptions,0.11100809250227961
prev_wopr,0.11071961251784712
prev_targets,0.1086914964088308
recent_receiving_yards_after_catch,0.09711935675282612
prev_fantasy_points_ppr,0.09024140859338203
prev_receiving_air_yards,0.0893266307315379
recent_receiving_drop_pct,0.089048122222803
prev_air_yards_share,0.0884211174290006
season_receiving_drop_pct,0.08627566402961628
prev_receiving_yards,0.08280797061381895
prev_receiving_yards_after_catch,0.07961292647997986
recent_air_yards_share,0.07902575064427753
season_receiving_drop,0.07550801534169871
prev_receiving_rat,0.06324026009375672
prev_racr,0.06161382087030631
season_receiving_tds,0.059661606284678204
season_receiving_rat,0.057587124358009056
recent_receiving_broken_tackles,0.05567239265013413
recent_receiving_epa,0.0510240360275116
recent_passing_air_yards,0.0446834691528224
season_carries,0.043876794885521875
recent_racr,0.043493099942502944
season_receiving_broken_tackles,0.04257872260595441
prev_receiving_fumbles,0.04244984962686904
prev_passing_first_downs,0.041556992721997865
recent_passing_yards,0.036621685213527044
season_receiving_int,0.03653768730015461
recent_sack_yards,0.035163462290031644
season_receiving_epa,0.03195024365826793
recent_times_pressured,0.029256219443958953
season_rushing_epa,0.028377845840872773
prev_receiving_drop_pct,0.027950759817218618
season_receiving_fumbles_lost,0.027791650524894518
prev_rushing_2pt_conversions,0.026975761159937273
prev_times_hit,0.02628755310400188
season_passing_bad_throw_pct,0.025321819153754754
recent_receiving_drop,0.025019147192158808
recent_passing_drops,0.024939637749225918
recent_rushing_yards_before_contact,0.024442463159706662
season_rushing_yards,0.02405659757158407
season_rushing_yards_before_contact_avg,0.023779221186349453
recent_times_pressured_pct,0.022522905584024144
prev_times_blitzed,0.022494093658897762
recent_interceptions,0.022469593553769096
recent_rushing_first_downs,0.02140728665462488
season_receiving_fumbles,0.021365703387045354
recent_receiving_rat,0.021269761188890346
prev_receiving_epa,0.02086814651918356
season_times_hurried,0.018915722345806518
prev_special_teams_tds,0.018600033224673407
recent_rushing_fumbles,0.01858263099446167
recent_times_hit,0.018511163563802446
season_racr,0.017841773193635557
season_rushing_yards_before_contact,0.017497256344117806
season_times_pressured_pct,0.016019039637841015
prev_dakota,0.015862243011442345
recent_times_hurried,0.015636604248682406
recent_completions,0.014583321893955725
season_passing_yards,0.014059188366554842
prev_rushing_epa,0.013950834087004704
recent_receiving_int,0.013828267035772335
recent_rushing_yards,0.013632900614375387
recent_rushing_yards_before_contact_avg,0.012696852571935091
prev_carries,0.012450225945124016
prev_receiving_tds,0.01238205797582781
season_completions,0.012358566176145613
prev_passing_yards,0.012001738270945417
season_receiving_2pt_conversions,0.011960298047735574
season_special_teams_tds,0.011883141244399598
prev_receiving_drop,0.011807974170952917
season_rushing_first_downs,0.011607214414873779
prev_receiving_fumbles_lost,0.011088990963540324
prev_passing_drop_pct,0.010242279396393661
season_times_hit,0.010207200957284446
recent_receiving_tds,0.010200720960671816
prev_receiving_int,0.01008551758316445
prev_rushing_fumbles,0.00989791723608735
recent_receiving_2pt_conversions,0.009891489389015629
prev_completions,0.009676868307465059
season_times_blitzed,0.009512439429966602
recent_passing_bad_throws,0.009342877079921097
prev_rushing_broken_tackles,0.009022338826885079
prev_rushing_yards_after_contact,0.008656005927305754
season_sacks,0.007833813718044924
prev_passing_air_yards,0.0077854231006779795
prev_times_pressured_pct,0.0061091886046136246
prev_rushing_yards_after_contact_avg,0.005772691199776858
prev_times_sacked,0.004821179391827579
recent_rushing_yards_after_contact_avg,0.004532865807947761
prev_interceptions,0.0045145636221741725
prev_rushing_yards_before_contact,0.0044515568057805766
recent_sack_fumbles,0.0038823560366407772
recent_pacr,0.0034345577151240203
prev_receiving_broken_tackles,0.0032329045676737778
recent_dakota,0.0026598100166621563
recent_passing_bad_throw_pct,0.0015790304948599676
season_times_pressured,0.0008610308395113897
season_passing_first_downs,0.0007247918431771971
recent_rushing_epa,0.0003612704350497431
prev_times_pressured,0.0
season_rushing_broken_tackles,0.0
prev_sack_fumbles,0.0
recent_rushing_broken_tackles,0.0
recent_sack_fumbles_lost,0.0
prev_sack_fumbles_lost,0.0
season_sack_fumbles_lost,0.0
prev_rushing_yards_before_contact_avg,0.0
season_sack_fumbles,0.0
prev_sack_yards,0.0
season_sack_yards,0.0
season_rushing_yards_after_contact,0.0
prev_sacks,0.0
recent_sacks,0.0
season_rushing_yards_after_contact_avg,0.0
season_interceptions,0.0
prev_times_hurried,0.0
recent_passing_tds,0.0
season_passing_tds,0.0
recent_rushing_yards_after_contact,0.0
prev_attempts,0.0
recent_attempts,0.0
season_attempts,0.0
prev_passing_tds,0.0
recent_receiving_fumbles,0.0
season_passing_air_yards,0.0
prev_rushing_tds,0.0
prev_pacr,0.0
season_dakota,0.0
recent_carries,0.0
prev_rushing_yards,0.0
season_rushing_tds,0.0
prev_receiving_2pt_conversions,0.0
recent_rushing_tds,0.0
season_rushing_fumbles,0.0
prev_passing_2pt_conversions,0.0
season_rushing_fumbles_lost,0.0
recent_rushing_fumbles_lost,0.0
prev_rushing_fumbles_lost,0.0
prev_rushing_first_downs,0.0
season_rushing_2pt_conversions,0.0
recent_rushing_2pt_conversions,0.0
recent_receiving_fumbles_lost,0.0
season_pacr,0.0
recent_passing_2pt_conversions,0.0
season_passing_yards_after_catch,0.0
season_passing_drop_pct,0.0
recent_times_blitzed,0.0
recent_times_sacked,0.0
season_times_sacked,0.0
recent_passing_yards_after_catch,0.0
prev_passing_bad_throws,0.0
season_passing_bad_throws,0.0
recent_passing_drop_pct,0.0
prev_passing_drops,0.0
season_passing_2pt_conversions,0.0
prev_passing_yards_after_catch,0.0
season_passing_drops,0.0
recent_passing_first_downs,0.0
season_passing_epa,0.0
recent_passing_epa,0.0
recent_special_teams_tds,0.0
prev_passing_epa,0.0
prev_passing_bad_throw_pct,0.0
