,MI Scores
season_receiving_first_downs,0.20813927851615244
recent_receptions,0.19453271801772143
season_receiving_yards,0.19321531207850917
recent_targets,0.17594026910533334
recent_receiving_first_downs,0.1744393670264306
recent_target_share,0.16954534841107538
season_fantasy_points_ppr,0.1684429751477472
season_targets,0.16539105938987042
prev_target_share,0.163978973999785
season_receptions,0.16148266689395907
season_target_share,0.15125227029572308
prev_wopr,0.1469214319398251
season_wopr,0.1465178947902066
recent_receiving_yards,0.146364591975769
prev_receptions,0.14133984726747917
recent_wopr,0.14132062611448237
season_receiving_yards_after_catch,0.14107348173583478
prev_targets,0.1372475476335997
season_air_yards_share,0.1311827545746631
recent_air_yards_share,0.1311338917369076
recent_fantasy_points_ppr,0.12999007460092127
prev_receiving_first_downs,0.12757588849713164
recent_receiving_yards_after_catch,0.11949842304112313
season_receiving_air_yards,0.11670920749173419
prev_fantasy_points_ppr,0.10564443790314204
recent_receiving_air_yards,0.09854572832196151
prev_air_yards_share,0.09718862976874831
recent_receiving_tds,0.08688692396900821
prev_receiving_air_yards,0.08544201324116862
season_receiving_epa,0.07903918794241793
recent_receiving_epa,0.06943243638338004
season_receiving_broken_tackles,0.06912382410365892
prev_receiving_epa,0.06644011571873776
season_racr,0.06521278172543177
prev_receiving_yards_after_catch,0.06228964586767205
prev_receiving_rat,0.05918907715285027
recent_receiving_drop_pct,0.04888056456804968
season_receiving_tds,0.0488080986826529
recent_receiving_rat,0.048173304694168806
prev_racr,0.04770817411397843
season_rushing_yards_after_contact,0.047404897428376724
recent_receiving_broken_tackles,0.04319309365109847
recent_receiving_drop,0.039723742410230134
prev_receiving_yards,0.039037325443096904
recent_rushing_yards_before_contact_avg,0.03787721451310144
season_rushing_yards_before_contact,0.03591459771509031
recent_passing_2pt_conversions,0.032856864398691066
recent_racr,0.03211077444914867
recent_rushing_epa,0.03205636132368461
season_rushing_yards_after_contact_avg,0.03183261110187008
recent_rushing_yards_before_contact,0.03174593829636985
season_rushing_yards_before_contact_avg,0.03025196017435494
season_receiving_rat,0.029180461021612203
prev_receiving_tds,0.02852982838283058
prev_receiving_drop_pct,0.024940261273080022
season_receiving_drop_pct,0.024395678908950558
recent_sack_fumbles,0.024252443980646854
season_times_sacked,0.02424742113149514
season_rushing_epa,0.02233547081572862
prev_times_blitzed,0.021969023283678668
season_passing_drop_pct,0.021669632801313288
recent_rushing_first_downs,0.02121361766420593
recent_rushing_yards,0.019425946287474183
prev_passing_air_yards,0.019031712601272677
season_attempts,0.01845712788225562
season_receiving_fumbles,0.01810159658095367
prev_rushing_first_downs,0.016189399866973098
recent_passing_yards_after_catch,0.015867835549675524
season_sack_fumbles_lost,0.015676769771754584
prev_rushing_yards_after_contact,0.015676629276830667
season_passing_yards,0.015550923413157225
season_receiving_int,0.015545120021882575
prev_sack_yards,0.015475983043205188
prev_times_hit,0.015288175755483246
recent_carries,0.014864081720251665
recent_receiving_int,0.014350893266254605
prev_rushing_yards,0.012965174181207129
prev_receiving_int,0.012882198679878831
recent_rushing_fumbles,0.012872129603535898
recent_receiving_2pt_conversions,0.012842832012334826
season_receiving_drop,0.012731725052741005
season_passing_air_yards,0.012639194021292877
recent_passing_epa,0.012629289948033362
recent_rushing_2pt_conversions,0.012386102654773357
season_times_blitzed,0.01232813314403658
season_times_pressured,0.012295372512098446
recent_passing_bad_throw_pct,0.012230388655096736
recent_passing_drop_pct,0.012002279628766876
prev_rushing_fumbles_lost,0.01194596179368701
season_rushing_tds,0.011657138753020657
prev_sack_fumbles_lost,0.011341101644125606
season_carries,0.011178304941598327
prev_pacr,0.01110335762272241
prev_receiving_drop,0.010129381866620601
prev_interceptions,0.010082436493581648
recent_receiving_fumbles_lost,0.01002910995548456
recent_passing_air_yards,0.01000732791297132
season_passing_drops,0.00896083169858719
season_receiving_2pt_conversions,0.00873261639827616
season_rushing_yards,0.008531698431764045
recent_interceptions,0.008216814487835622
prev_dakota,0.008018091481360123
prev_rushing_epa,0.007890381261354218
recent_rushing_broken_tackles,0.007614266732087982
season_rushing_fumbles_lost,0.006441921606916923
prev_passing_bad_throw_pct,0.0061990623533858535
recent_rushing_yards_after_contact,0.005920935481301015
season_rushing_first_downs,0.005324809162288169
prev_rushing_2pt_conversions,0.005252579130904156
prev_passing_epa,0.0051838809594750845
recent_dakota,0.005113191313227627
season_passing_epa,0.005069415202400007
recent_rushing_yards_after_contact_avg,0.004665856607097396
