,QB,WR,TE,RB
Ridge_train,5.763182621978107,5.090563075635027,3.6764115654944987,4.962369364757549
Lasso_train,6.172155745867708,5.181515522268024,3.752540555198473,5.1292754195159125
ElasticNet_train,6.173458398839607,5.182908936113705,3.754032181375626,5.129971063486611
XGB_train,5.139768544315898,4.820785672669414,3.2624462683248834,4.574320131089507
RandomForest_train,4.901760202717183,4.948933348958973,3.5721480414455318,4.764239837763521
Ridge_cv,6.682964697272906,5.373982254143975,3.9101046337095866,5.329735567976636
Lasso_cv,6.3709037982627965,5.239900860987985,3.8154177315041684,5.20259209690425
ElasticNet_cv,6.379756545610616,5.242693307859868,3.814055270653814,5.202771996092229
XGB_cv,6.4053714881579324,5.212593338430041,3.821792552343151,5.206731393356735
RandomForest_cv,6.306886523043788,5.205298210718884,3.789618891992466,5.1690665953509045
Ridge_test,5.763182621978107,5.090563075635027,3.6764115654944987,4.962369364757549
Lasso_test,6.172155745867708,5.181515522268024,3.752540555198473,5.1292754195159125
ElasticNet_test,6.173458398839607,5.182908936113705,3.754032181375626,5.129971063486611
XGB_test,5.139768544315898,4.820785672669414,3.2624462683248834,4.574320131089507
RandomForest_test,4.901760202717183,4.948933348958973,3.5721480414455318,4.764239837763521
